"","datetime","Rainfall_mm_daily","AirTemp_C_Max","AirTemp_C_Min","AirTemp_C_Mean","PET_Tmean_mm_day"
"1",2019-10-15,0,26.5,16,19.8277777777778,2.60286873894522
"2",2019-10-16,0,23.1,11.3,17.2305555555556,2.22346129421242
"3",2019-10-17,0.459,17.6,8.3,11.4222222222222,1.55128498331655
"4",2019-10-18,0,18.1,7.9,11.7486111111111,1.5778198977928
"5",2019-10-19,0,19.2,9.4,13.2222222222222,1.7234519456833
"6",2019-10-20,0,21.7,12,15.825,2.01430369893396
"7",2019-10-21,0,25.9,15.9,20.5027777777778,2.65116279596197
"8",2019-10-22,0,29.7,18.5,23.0819444444444,3.06638413902083
"9",2019-10-23,0,27.9,18.6,21.4909722222222,2.78842668304318
"10",2019-10-24,0,31.4,19.8,24.2756944444444,3.25921646442315
"11",2019-10-25,0,31.4,21.5,24.7402777777778,3.33442314530777
"12",2019-10-26,0,28.2,17,22.2097222222222,2.87663866428485
"13",2019-10-27,0,18.5,8.1,11.8541666666667,1.53939007770663
"14",2019-10-28,0,19.5,7.1,12.5006944444444,1.59737674675267
"15",2019-10-29,0,20.7,8.6,13.39375,1.68270388228456
"16",2019-10-30,0,20.2,6.9,12.9173611111111,1.62827949464901
"17",2019-10-31,0,20.6,10.4,14.4027777777778,1.77860316420478
"18",2019-11-01,0,23.2,10.9,16.1027777777778,1.96606649265692
"19",2019-11-02,0,27,15.8,20.2826388888889,2.51252411819803
"20",2019-11-03,0,25.7,17.6,20.5284722222222,2.54054450134546
"21",2019-11-04,0,26.8,17.1,20.3298611111111,2.5031227637568
"22",2019-11-05,0,26.2,16.2,19.9083333333333,2.43427655229238
"23",2019-11-06,0,25.4,16.5,19.5569444444444,2.37698578648334
"24",2019-11-07,0,27.6,16.6,19.7569444444444,2.39752525096773
"25",2019-11-08,0,27.4,17.4,21.2180555555556,2.60285785868712
"26",2019-11-09,0,27.3,17.4,21.4402777777778,2.6285061692866
"27",2019-11-10,0,27.9,16.7,20.4854166666667,2.47898627973719
"28",2019-11-11,0,26.3,16.1,20.2069444444444,2.43166097237151
"29",2019-11-12,0,26.4,17.7,20.6736111111111,2.49144689069645
"30",2019-11-13,0,24.1,11.4,18.2652777777778,2.15590675914466
"31",2019-11-14,0,16.5,6.7,10.3104166666667,1.31909117802936
"32",2019-11-15,0,18.4,7.3,11.4673611111111,1.41502889385235
"33",2019-11-16,0,23.8,12,17.3965277777778,2.02977287769933
"34",2019-11-17,0,26.1,14.1,19.0104166666667,2.22809547374079
"35",2019-11-18,0,25.2,16.4,20.4909722222222,2.42396394914147
"36",2019-11-19,0.935,18.8,6.2,10.7284722222222,1.33612846762093
"37",2019-11-20,0.085,14,5.9,10.3013888888889,1.29714178168827
"38",2019-11-21,0,14.5,6.2,9.72291666666667,1.24715789320118
"39",2019-11-22,0,18,7.1,11.1326388888889,1.36035968971759
"40",2019-11-23,0,18.7,9.3,13.0881944444444,1.53351710635179
"41",2019-11-24,0,20.1,10.8,14.2347222222222,1.64209449250825
"42",2019-11-25,0,13.2,6.2,9.84930555555556,1.24543450489592
"43",2019-11-26,15.64,7.7,1.3,4.77430555555556,0.893280440650674
"44",2019-11-27,15.47,5.4,0.1,1.53541666666667,0.716594850953579
"45",2019-11-28,3.213,10.8,0,1.59448275862069,0.718012277335302
"46",2019-11-29,3.264,7.6,0.8,2.32986111111111,0.753374941898349
"47",2019-11-30,1.258,9,0.7,4.70416666666667,0.881962199952794
"48",2019-12-01,3.4,11.2,7.9,9.2,1.18045827213361
"49",2019-12-02,16.711,12.2,9.1,10.31875,1.26545495403025
"50",2019-12-03,0.17,16,9.3,12.0305555555556,1.4071321735393
"51",2019-12-04,13.158,12.6,7.8,9.40694444444444,1.19016299203095
"52",2019-12-05,0.085,13,6.6,9.66875,1.20838095511545
"53",2019-12-06,0,15.7,8.8,11.0395833333333,1.31621986875417
"54",2019-12-07,38.352,11.1,8.3,9.87916666666667,1.22127031168321
"55",2019-12-08,19.431,11.8,7.3,8.78541666666667,1.13731851317259
"56",2019-12-09,0.119,11.4,5.7,7.87777777777778,1.0713879626201
"57",2019-12-10,1.343,13.7,5.2,8.69791666666667,1.12836300915605
"58",2019-12-11,0.527,12,7.2,10.3131944444444,1.24970822721487
"59",2019-12-12,0.017,14.6,10.3,12.2909722222222,1.41399103525851
"60",2019-12-13,3.57,13.8,8.5,10.3444444444444,1.2500014132379
"61",2019-12-14,7.429,8.8,3.9,5.76875,0.929241236866753
"62",2019-12-15,0,9.6,1.7,4.59097222222222,0.858957020862451
"63",2019-12-16,0,12.6,3.3,6.46111111111111,0.971327574309389
"64",2019-12-17,0,12.3,6.1,8.90138888888889,1.13733647893477
"65",2019-12-18,16.32,8.2,5.3,6.51527777777778,0.973976682538952
"66",2019-12-19,3.196,10.4,5.8,7.53958333333333,1.040964320726
"67",2019-12-20,0,16,6.1,11.2895833333333,1.32265030878079
"68",2019-12-21,0,12.7,9.2,11.4243055555556,1.33379319244892
"69",2019-12-22,11.271,10.8,3.2,6.7,0.985310279310989
"70",2019-12-23,0.034,8.6,2.9,4.39930555555556,0.846545052116911
"71",2019-12-24,0.714,5.7,2.6,3.54236111111111,0.799528210866846
"72",2019-12-25,3.468,6.5,2.7,4.19444444444444,0.835466803085923
"73",2019-12-26,0.34,10.7,3.1,5.88680555555556,0.935049552746054
"74",2019-12-27,0,11.9,5.1,7.55069444444444,1.04299914140949
"75",2019-12-28,0,15.6,7.1,10.1680555555556,1.23457832475982
"76",2019-12-29,6.29,11.6,5.4,7.7375,1.05703010203931
"77",2019-12-30,0,12.3,3.8,7.83611111111111,1.06461467109439
"78",2019-12-31,0,15.6,7.1,10.2965277777778,1.24753129756355
"79",2020-01-01,0,14.6,7.6,10.7854166666667,1.28796137553529
"80",2020-01-02,0,15.6,5.3,11.2097222222222,1.32425951368842
"81",2020-01-03,0,18.4,10.5,13.0902777777778,1.49101044815281
"82",2020-01-04,0.221,13,5.6,8.19236111111111,1.09505365860582
"83",2020-01-05,0.17,10.7,2.8,6.67777777777778,0.993701671800249
"84",2020-01-06,0,16,6,10.5611111111111,1.27750322658164
